FBspecies,a,b,Locality,,,,,,,,,,,,,,
Chromis chromis,0.0147,3.0513,Southern Agean Sea / 2009-2010.,,,,,,,,,,,,,,
Coris julis,0.0068,3.1178,Southern Agean Sea / 2009-2010.,,,,,,,,,,,,,,
Epinephelus costae,0.0176,2.885,"Gֳ¶kova Bay, SE Aegean Sea, 2006",,,,,,,,,,,,,,
Epinephelus marginatus,0.0127,3.085,"Alexandria, 1962",,,,,,,,,,,,,,
Siganus luridus,0.011,3.04,"off Alexandria, 1998",,,,,,,,,,,,,,
Mycteroperca rubra,0.008,3.065,Gulf of Antalya / 2014,,,,,,,,,,,,,,
Serranus cabrilla,0.0126,2.955,"Cyclades, Aegean Sea, 1997-98",,,,,,,,,,,,,,
Serranus scriba,0.0095,3.122,Aegean Sea / 1997 - 98,,,,,,,,,,,,,,
Siganus rivulatus,0.0075,3.203,"eastern Mediterranean, 1997-98",,,,,,,,,,,,,,
Torquigener flavimaculosus,0.03761,2.8363,"Mu?la coasts, South Aegean Sea / 2014.",,,,,,,,,,,,,,
Sargocentron rubrum,0.01801,3.015,"eastern Mediterranean, 1997-98",,,,,,,,,,,,,,
Parupeneus forsskali,0.007,3.1699,"Hurghada fishing area, Red Sea / 2016.",,,,,,,,,,,,,,
Pterois miles,0.019,2.896,Rhodes Island / 2016-2017.,,,,,,,,,,,,,,
Taeniurops grabatus,0.004,3.17,Mediterranean,,,,,,,,,,,,,,
Sparisoma cretense,0.00568,3.311,"Kyclades, 1997-98",,,,,,,,,,,,,,
Scarus ghobban,0.035,2.77,Egytian Red Sea coast / 2014-2016.,,,,,,,,,,,,,,
Pagrus caeruleostictus,0.0671,2.521,Iskenderun Bay / 2000-2000,,,,,,,,,,,,,,
Dasyatis pastinaca,0.0419,3.3169,Iskenderun Bay / 2010-2011.,,,,,,,,,,,,,,
Symphodus tinca,0.018,2.9243,Southern Agean Sea / 2009-2010.,,,,,,,,,,,,,,
Fistularia commersonii,0.0118,2.7274,Southern Agean Sea / 2009-2010.,,,,,,,,,,,,,,
Sciaena umbra,0.0136,3.0038,Southern Agean Sea / 2009-2010.,,,,,,,,,,,,,,
Seriola dumerili,0.0199,2.964,"Gֳ¶kova Bay, SE Aegean Sea, 2006",,,,,,,,,,,,,,
Diplodus sargus,0.01382,3.07,Aegean Sea / 1997 - 1998,,,,,,,,,,,,,,
Diplodus vulgaris,0.0145,3.034,"Gֳ¶kova Bay, SE Aegean Sea, 2006",,,,,,,,,,,,,,
Diplodus cervinus,0.007,3.28,French Catalan coast / 2007-2010.,,,,,,,,,,,,,,
Argyrosomus regius,0.0114,2.976,"GFCM GSA 26; off the coast of Egypt / 2008-2010, 2017-2018.",,,,,,,,,,,,,,
Pagrus auriga,0.01905,3,NA,,,,,,,,,,,,,,
Diplodus puntazzo,0.01854,3.12,Eastern Ionian Sea / 2008-2010.,,,,,,,,,,,,,,
Symphodus mediterraneus,0.0139,3.0029,Southern Agean Sea / 2009-2010.,,,,,,,,,,,,,,
Balistes capriscus,0.0166,3.081,"GFCM GSA 26; off the coast of Egypt / 2008-2010, 2017-2018.",,,,,,,,,,,,,,
Pteragogus pelycus,0.015,2.93,Continental shelf and upper slope / 2008-2011,,,,,,,,,,,,,,
Himantura uarnak,0.0117,3.17,Mediterranean,,,,,,,,,,,,,,
Muraena helena,0.0027,2.894,northern coast of Tunisia / 2011-2013,,,,,,,,,,,,,,
Scomberomorus commerson,0.012,2.812,Red Sea,,,,,,,,,,,,,,
Synodus saurus,0.02,2.715,"Kyclades, 1997-98",,,,,,,,,,,,,,
Acantholabrus palloni,0.0108,3.074,"Nazarֳ© to St Andrֳ©, 1997",,,,,,,,,,,,,,
