Saprisoma cretense," ""Sardin sp"""," ""Taeniurops grabatus"""," ""Dasyatis pastinaca"""," ""Echeneis sp"""," ""Symphodus sp""",Diplodos cervinus," ""Pteragogus pelycus"""," ""Acantholabrus palloni"""," ""Synodus saurus"""," ""Scomber sp"""," ""Rhabdosargus haffara""","Salpa salpa, ",Argyrosomus regius
,,,,,,,,,,,,,
,,,,,,," ""PK"" ""IM"" ""HD"" ""FC"" NA   ""OM""",,,,,,
,,,,,,,,,Benthic carnivores (microinvertivores),Parupeneus forsskali,,,
,,,,,,,,,Benthic carnivores (microinvertivores),Symphodus mediterraneus,,,
,,,,,,,,,Benthic carnivores (microinvertivores),Symphodus tinca,,,
,,,,,,,,,Benthic carnivores (microinvertivores),Thalassoma pavo,,,
,," ""Echeneis sp""",,,,,,,Benthic carnivores (microinvertivores),Torquigener flavimaculosus,,,
,," ""Symphodus sp""",,,,,,IM,Generalized carnivores (macroinvertivores),Balistes capriscus,,,
,,,,,,,,,Generalized carnivores (macroinvertivores),Coris julis,,,
,," ""Pteragogus pelycus""",,,,,,,Generalized carnivores (macroinvertivores),Dasyatis pastinaca,,,
,,,,,,,,,Generalized carnivores (macroinvertivores),Diplodus cervinus,,,
,," ""Synodus saurus""",,,,,,,Generalized carnivores (macroinvertivores),Diplodus sargus,,,
,," ""Scomber sp""",,,,,,,Generalized carnivores (macroinvertivores),Diplodus vulgaris,,,
,," ""Rhabdosargus haffara""",,,,,,,Generalized carnivores (macroinvertivores),Epinephelus costae,,,
,,Salpa salpa,,,,,,,Generalized carnivores (macroinvertivores),Pagrus caeruleostictus,,,
,,,,,,,,,Generalized carnivores (macroinvertivores),Sargocentron rubrum,,,
,,,,,,,,,Generalized carnivores (macroinvertivores),Serranus cabrilla,,,
,,,,,,,,,Generalized carnivores (macroinvertivores),Serranus scriba,,,
,,,,,,,,,Generalized carnivores (macroinvertivores),Taeniura grabata,,,
,,,,,,,,HD,Obligate herbivores,Siganus luridus,,,
,,,,,,,,HD,Obligate herbivores,Siganus rivulatus,,,
,,,,,,,,HD,Obligate herbivores,Sparisoma cretense,,,
,,,,,,,,OM,Omnivore,Scarus ghobban,,,
,,,,,,,,FC,Piscivores,Argyrosomus regius,,,
,,,,,,,,FC,Piscivores,Muraena helena,,,
,,,,,,,,FC,Piscivores,Mycteroperca rubra,,,
,,,,,,,,FC,Piscivores,Pterois miles,,,
,,,,,,,,FC,Piscivores,Scomberomorus commerson,,,
,,,,,,,,FC,Piscivores,Epinephelus marginatus,,,
,,,,,,,,PK,Planktivores,Chromis chromis,,,
,,,,,,,,PK,Planktivores,Sardin sp,,,
,,,,,,,,,Generalized carnivores (macroinvertivores)," ""Dasyatis pastinaca""",,,
,,,,,,,,IM,," ""Acantholabrus palloni""",,,
,,,,,,,,,Obligate herbivores,Salpa salpa,,,
